Время начала - чч:мм:сс.мс	Время окончания - чч:мм:сс.мс	Длительность - чч:мм:сс.мс	интервьюер	информант
00:03:00.095	00:03:00.921	00:00:00.826		ничего не было,
00:03:00.921	00:03:02.349	00:00:01.428		в-вот ...(0.6)
00:03:02.349	00:03:08.095	00:00:05.746		Ничего н= || я дум= || подумал ...(0.5) а(1.1) я еще соображал, 
00:03:08.095	00:03:09.302	00:00:01.207		что я думаю, 
00:03:09.302	00:03:09.714	00:00:00.412		странно,
00:03:09.714	00:03:10.143	00:00:00.429		думаю:
00:03:10.143	00:03:11.206	00:00:01.063		где я оказался,
00:03:11.206	00:03:11.921	00:00:00.715		да.
00:03:11.921	00:03:15.032	00:00:03.111		И вдруг передо мной возникло нечто. …(1.0)
00:03:15.032	00:03:15.492	00:00:00.460		Нечто, 
00:03:15.492	00:03:18.683	00:00:03.191		которое …(0.4) а(0.5) подошло ко мне. …(0.4)
00:03:18.683	00:03:19.984	00:00:01.301		А(0.2) я понял,
00:03:19.984	00:03:21.429	00:00:01.445		что это э(0.3) человек, 
00:03:21.429	00:03:27.508	00:00:06.079		который …(2.0) а(0.6) ну-у н= не нашего земного происхождения. 
00:03:27.508	00:03:29.444	00:00:01.936		И он (0.3) подошел ко мне, 
00:03:29.444	00:03:29.952	00:00:00.508		да, …(0.3)
00:03:29.952	00:03:31.254	00:00:01.302		и я вдруг услышал: 
00:03:31.254	00:03:35.048	00:00:03.794		«Вы хотели бы побывать на нашей планете?» …(0.9)
00:03:35.048	00:03:38.270	00:00:03.222		А(0.4) хотя я видел по-о губам,
00:03:38.270	00:03:39.857	00:00:01.587		что он ничего не говорит, …(0.4)
00:03:39.857	00:03:40.873	00:00:01.016		я вдруг догадался, 
00:03:40.873	00:03:43.762	00:00:02.889		что он ...(0.3) телепатически со мной разговаривает,
00:03:43.762	00:03:46.762	00:00:03.000		то есть я начинаю считывать его ...(0.4) мысли, 
00:03:46.762	00:03:48.968	00:00:02.206		а он считывает мои. …(0.6)
00:03:48.968	00:03:50.556	00:00:01.588		Мне || м(0.5) странно, 
00:03:50.556	00:03:53.397	00:00:02.841		что мне || у меня не было никакого страха,
00:03:53.397	00:03:59.222	00:00:05.825		никакого …(0.4) в этом смысле …(0.6) ну-у такого отторжения, 
00:03:59.222	00:04:02.111	00:00:02.889		что мне нужно было вернуться …(0.3) а(0.2) назад. 
00:04:02.111	00:04:03.111	00:00:01.000		Верните меня назад, 
00:04:03.111	00:04:03.619	00:00:00.508		да.
00:04:03.619	00:04:04.222	00:00:00.603		Я сказал: 
00:04:04.222	00:04:05.794	00:00:01.572		«Да-а, это было бы интересно». …(0.2)
00:04:05.794	00:04:08.381	00:00:02.587		И= и тогда …(0.4) а(0.2) он сказал: 
00:04:08.381	00:04:09.873	00:00:01.492		«Хорошо». …(0.9)
00:04:09.873	00:04:11.873	00:00:02.000		А(0.1) и мы || а(0.3) я вдруг увидел,
00:04:11.873	00:04:16.429	00:00:04.556		что земля стала а(0.4) очень быстро-быстро от нас удаляться. 
00:04:16.429	00:04:18.127	00:00:01.698		Тр-р. 
00:04:18.127	00:04:18.667	00:00:00.540		Вот.
00:04:18.667	00:04:21.286	00:00:02.619		И мы э(0.3) с такой ...(0.5) скоростью |ES|
00:04:21.286	00:04:24.000	00:00:02.714		Хотя ничего || ник= никакой вибрации, 
00:04:24.000	00:04:25.397	00:00:01.397		никакого движения, 
00:04:25.397	00:04:28.302	00:00:02.905		я в этом смысле не= не увидел, ...(0.4)
00:04:28.302	00:04:29.825	00:00:01.523		и не понял,
00:04:29.825	00:04:31.095	00:00:01.270		и не услышал. 
00:04:31.095	00:04:32.968	00:00:01.873		И через какое-то время, ...(0.4) 
00:04:32.968	00:04:34.238	00:00:01.270		вдруг, ...(0.6)
00:04:34.238	00:04:40.714	00:00:06.476		мы о-оказались совершенно ...(0.3) а(0.6) в-в другой комнате. ...(0.8)
00:04:40.714	00:04:41.349	00:00:00.635		Вот, 
00:04:41.349	00:04:43.873	00:00:02.524		И э(0.4) открылся какой-то люк,
00:04:43.873	00:04:45.444	00:00:01.571		и э(0.2) он сказал:
00:04:45.444	00:04:46.460	00:00:01.016		ну вот мы и прибыли. 
00:04:46.460	00:04:49.571	00:00:03.111		И когда я вышел, …(1.6)
00:04:49.571	00:04:50.540	00:00:00.969		{ЦОКАНЬЕ} я думаю,
00:04:50.540	00:04:52.048	00:00:01.508		а как же я буду дышать. 
00:04:52.048	00:04:52.524	00:00:00.476		А(0.3) он говорит: 
00:04:52.524	00:04:53.730	00:00:01.206		«Не волнуйся, ...(0.2)
00:04:53.730	00:04:55.429	00:00:01.699		 здесь такая же атмосфера, 
00:04:55.429	00:04:59.286	00:00:03.857		только здесь много у= углекислого газа и азота».
00:04:59.286	00:04:59.810	00:00:00.524		Вот. …(0.5)
00:04:59.810	00:05:06.429	00:00:06.619		Но и те= те= || дышать ...(0.5) было достаточно очень легко мне. …(0.6)
00:05:06.429	00:05:08.048	00:00:01.619		И я в этом смысле даже подумал, 
00:05:08.048	00:05:11.603	00:00:03.555		как легко а(1.4) || не тяжело это было. 
00:05:11.603	00:05:16.540	00:00:04.937		И потом я увидел …(0.2) замечательные какие-то странные …(0.2) люди ходят, 
00:05:16.540	00:05:18.397	00:00:01.857		но это были не люди, 
00:05:18.397	00:05:20.000	00:00:01.603		это были какие-то гуманоиды,
00:05:20.000	00:05:22.762	00:00:02.762		кото= || у которых были большие головы …(0.2) 
00:05:22.762	00:05:23.429	00:00:00.667		и вот,
00:05:23.429	00:05:24.587	00:00:01.158		и большие руки. 
00:05:24.587	00:05:27.794	00:00:03.207		И м(0.6) они б-были достаточно большого роста, 
00:05:27.794	00:05:32.349	00:00:04.555		где-то || где-то метра два-три на вскидку. …(0.7)
00:05:32.349	00:05:34.270	00:00:01.921		И-и они-и проходили, 
00:05:34.270	00:05:38.175	00:00:03.905		совершенно ...(0.4) э(1.0) не смотрели на меня, …(0.2)
00:05:38.175	00:05:39.524	00:00:01.349		а этот мой э(0.5) гид,
00:05:39.524	00:05:44.937	00:00:05.413		который а(1.0) м-меня ам(0.2) а(0.5), ...(0.8)
00:05:44.937	00:05:45.460	00:00:00.523		скажем так,
00:05:45.460	00:05:47.667	00:00:02.207		похитил |E| (как потом оказалось),
00:05:47.667	00:05:49.794	00:00:02.127		он ...(0.5) провел меня дальше. 
00:05:49.794	00:05:50.794	00:00:01.000		Мы спустились
00:05:50.794	00:05:55.127	00:00:04.333		и стали ходить ...(0.3) а(2.0) по этой территории, 
00:05:55.127	00:05:57.476	00:00:02.349		которая ...(0.2) была рядом с кораблем, 
00:05:57.476	00:05:58.651	00:00:01.175		так я понял, 
00:05:58.651	00:05:59.206	00:00:00.555		вот.
00:05:59.206	00:06:04.302	00:00:05.096		Там были замечательные очень удивительные ...(0.5) а(0.8) дома-недома, 
00:06:04.302	00:06:06.714	00:00:02.412		но какие-то ангары, 
00:06:06.714	00:06:09.270	00:00:02.556		э(0.6) куда заходили эти ...(0.3) гуманоиды,
00:06:09.270	00:06:09.746	00:00:00.476		да,
00:06:09.746	00:06:11.540	00:00:01.794		и э(0.3) они закрывались,
00:06:11.540	00:06:14.556	00:00:03.016		и было || то есть |S|
00:06:14.571	00:06:16.064	00:00:01.493		Cмотреть если на небо, 
00:06:16.064	00:06:17.968	00:00:01.904		то там неба как-то какого не было,
00:06:17.968	00:06:20.984	00:00:03.016		там было два солнца. ...(1.6)
00:06:20.984	00:06:22.175	00:00:01.191		Там было два солнца,
00:06:22.175	00:06:27.984	00:00:05.809		которое ...(0.5) || которое освещало эту э(1.1) планету. …(0.7)
00:06:27.984	00:06:29.619	00:00:01.635		Я-я спросил:
00:06:29.619	00:06:30.587	00:00:00.968		«А(0.2) мы об= » |E| 
00:06:30.587	00:06:31.159	00:00:00.572		(Я так понял, 
00:06:31.159	00:06:35.111	00:00:03.952		что мы обращ= || м= мы общались телепатически.)
00:06:35.111	00:06:36.381	00:00:01.270		И-и а(0.3) я спросил: 
00:06:36.381	00:06:37.635	00:00:01.254		«А почему два солнца?» 
00:06:37.635	00:06:41.952	00:00:04.317		Потому что ...(0.5) одно солнце ...(0.4) а(0.6) уходит, 
00:06:41.952	00:06:44.317	00:00:02.365		а другое || а другое светит. 
00:06:44.317	00:06:45.635	00:00:01.318		И потом наоборот, 
00:06:45.635	00:06:46.413	00:00:00.778		это уходит, 
00:06:46.413	00:06:48.873	00:00:02.460		а другое пытается с-светить. 
00:06:48.873	00:06:50.698	00:00:01.825		То есть чтобы был |E|
00:06:50.698	00:06:52.952	00:00:02.254		(а(0.2) как он э(0.2) мне э(0.3) объяснил), 
00:06:52.952	00:06:55.302	00:00:02.350		чтобы был ...(0.3) процесс нескончаемый, 
