Время начала - чч:мм:сс.мс	Время окончания - чч:мм:сс.мс	Длительность - чч:мм:сс.мс	интервьюер	информант
00:12:21.294	00:12:23.667	00:00:02.373		То есть я был а(0.3) вот как в комнате,
00:12:23.667	00:12:25.118	00:00:01.451		как вот я э(0.2)..
00:12:25.118	00:12:25.726	00:00:00.608		Другой вопрос,
00:12:25.726	00:12:28.824	00:00:03.098		что там атмосфэ-эра || атмосфера была другая.
00:12:28.824	00:12:30.000	00:00:01.176		Как мне потом он сказал,
00:12:30.000	00:12:34.588	00:00:04.588		что …(0.3) там содержание азота …(0.4) и углекислого газа другое,
00:12:34.588	00:12:37.078	00:00:02.490		поэтому …(0.2) там легче все это.
00:12:37.078	00:12:38.373	00:00:01.295		Там кислорода 
00:12:38.373	00:12:39.726	00:00:01.353		 ну там есть кислород,
00:12:39.726	00:12:41.471	00:00:01.745		но || и а(0.3) |ES|
00:12:41.471	00:12:44.314	00:00:02.843		Там легче мне было э(0.6) дышать,
00:12:44.314	00:12:45.569	00:00:01.255		то есть легче ходить.
00:12:45.569	00:12:47.333	00:00:01.764		То есть там вот а(0.3) гравитация,
00:12:47.333	00:12:48.726	00:00:01.393		которая давит на нас,
00:12:48.726	00:12:50.471	00:00:01.745		она м(0.3) практически |S|
00:12:50.471	00:12:52.118	00:00:01.647		То есть можно было …(0.4) так,
00:12:52.118	00:12:52.471	00:00:00.353		да,
00:12:52.471	00:12:54.000	00:00:01.529		как на Луне обычно прыгаешь,
00:12:54.000	00:12:54.451	00:00:00.451		да.
00:12:54.353	00:12:54.843	00:00:00.490	Угу.	
00:12:54.451	00:12:56.686	00:00:02.235		И-и то есть шаг делаешь,
00:12:56.686	00:12:57.863	00:00:01.177		 и летишь какое-то время,
00:12:57.863	00:13:00.627	00:00:02.764		потому что …(0.3) там а(0.3) гравитация другая,
00:13:00.627	00:13:02.314	00:00:01.687		и ты в этом смысле |ES|
00:13:02.314	00:13:03.471	00:00:01.157		А-а там нет.
00:13:03.471	00:13:06.588	00:00:03.117		Там …(0.2) можно было ходить …(0.5) и как бы м(1.5) |ES|
00:13:06.588	00:13:08.431	00:00:01.843		Н-yу легко было,
00:13:08.431	00:13:09.726	00:00:01.295		легко.
00:13:09.726	00:13:10.882	00:00:01.156		Т= тяжести как таковой,
00:13:10.882	00:13:13.157	00:00:02.275		как …(0.4) при земной гравитации,
00:13:13.157	00:13:13.941	00:00:00.784		не было.
00:13:14.255	00:13:14.961	00:00:00.706	Угу.	
00:13:14.961	00:13:15.686	00:00:00.725	Всё.	
00:13:15.686	00:13:16.412	00:00:00.726	Спасибо большое. 	

